comment,label,processed,processed_baku
"Susah banget sihh mau dapat SMS dari 69888,sudah tanya Ke Halo BCA sama aja tetap gk bisa.",-1,susah banget sihh dapat sms sudah ke halo bca aja tidak bisa,susah banget mau sms sudah ke halo sama aja tidak bisa
"Tidak bisa registrasi, Saat isi nomor kartu cuma loading doang tidak kunjung selesai",-1,tidak bisa registrasi isi nomor kartu loading doang tidak kunjung selesai,tidak bisa registrasi isi nomor kartu loading doang tidak kunjung selesai
"verifikasi nomer ktp sudah saya input dengan BENAR WOI UDAH BENER BACA INI WOY, namun sistem membaca nomer ktp salah. mohon diperbaiki",-1,verifikasi nomer ktp saya input benar woi udah bener baca woy sistem baca nomer ktp salah mohon baik,verifikasi ktp saya dengan woi bener baca woy sistem baca ktp salah mohon baik
"Mau login aja kagak pernah bisa, terus buat apa coba",-1,login aja kagak bisa buat coba,login aja kagak bisa buat coba
"Kemaren bisa d pake, knp sekarang gagal terus kirim verifikasi sms nya",-1,kemaren bisa d pake sekarang gagal kirim verifikasi sms nya,bisa pake sekarang gagal kirim verifikasi nya
Apk gaguna mau login aja dipersulit udah masukin no malah muter muter gabisa masuk,-1,apk gaguna login aja sulit udah masukin no muter muter tidak bisa masuk,gaguna login aja sulit masukin malah muter tidak bisa masuk
ko selalu dlm pemeliharaan terus ya jd ga bs login,-1,ko dlm pelihara ya jd tidak bisa login,selalu pelihara ya tidak bisa
"Tolong tambahkan login dengan sidik jari, ribet harus masukin password terus",-1,tolong login sidik jari ribet masukin password,tolong login sidik jari harus password
"Jadi males, keseringan pemeliharaan sistem",-1,males pelihara sistem,males pelihara sistem
Praktis dan prosesnya cepat,1,praktis proses cepat,praktis proses cepat
"aplikasi dendam pribadi kayanya, masa baru masuk langsung di blokir padahal password benar",-1,aplikasi dendam pribadi kaya baru masuk langsung blokir password,aplikasi dendam pribadi kaya baru masuk langsung blokir password
Tambah daftar transfer jangan pakai SMS dong ya....please deh,-1,daftar transfer pakai sms ya please deh,daftar transfer pakai dong please deh
"lupa pasword 3x, langsung diblokir. ngaktifin lagi harus telpon cs. pulsa 20rb langsung habis 😔",-1,lupa pasword x langsung blokir ngaktifin harus telpon cs pulsa rb langsung habis,lupa x langsung blokir lagi telpon pulsa langsung habis
Sudah bagus tapi harusnya buat keluhan adain via chat gak musti telpon hallo bca terus,1,bagus harus keluh adain via chat tidak musti telpon hallo bca,bagus harus keluh via tidak telpon bca
"Mau verivikasi myBCA aja harus nunggu di telpon balik, udah 2 hari belom ada yang telpon. Mengecewakan banget...",-1,verivikasi mybca aja nunggu telpon udah bom yang telpon kecewa banget,verivikasi aja nunggu telpon udah bom yang telpon kecewa banget
"Keren aplikasinya, inovatif dan kreatif 👍",1,keren aplikasi inovatif kreatif,keren aplikasi inovatif kreatif
Disaat semua serba digital MYBCA masih Pake Telpon Atau Ke Kantor cabang untuk mengaktifkannya KEREN..,1,semua serba digital mybca pake telpon ke kantor cabang aktif keren,semua serba digital masih telpon ke kantor cabang aktif keren
Udh download tp g bs buat id udh krim sms aktifasi berkali-kali msh g bs,-1,udh download tp tidak bisa id udh krim sms aktifasi kali kali msh tidak bisa,download tidak bisa id krim aktifasi kali kali tidak bisa
Mantap membantu sangat tanpa ribet ke bank lagi buat cek mutasi yang lalu.,1,mantap bantu tanpa ribet bank buat cek mutasi lalu,mantap bantu tanpa ke bank buat cek mutasi lalu
"Aplikasi sampah... ribet buat verifikasi aja susah minta ampun.. udah nelpon ke cs, minta tunggu di telepon balik... gw bukan penggangguran bos... bisa angkat telpon kapanpun kalian mau",-1,aplikasi sampah ribet verifikasi aja susah ampun udah nelpon cs tunggu telepon gw penggangguran bos bisa angkat telpon kalian,aplikasi sampah buat verifikasi aja susah ampun nelpon cs tunggu telepon gw penggangguran bos bisa angkat telpon kalian
Layanan Bi fast masih belum tersedia,-1,layan bi fast belum sedia,layan fast belum sedia
e statement saya tidak keluar dibulan juni juli dan agustus,-1,e statement tidak bulan juni juli agustus,statement tidak bulan juni juli agustus
Udah kirim sms 5x masih belum di konfirmasi. Apakah tidak bisa menggunakan nomer Malaysia untuk mengirim sms tolong lah di konfirmasi.,-1,udah kirim sms x belum konfirmasi tidak bisa guna nomer malaysia kirim sms tolong di konfirmasi,kirim x belum konfirmasi tidak bisa guna malaysia kirim tolong di konfirmasi
Layanan cepat dan tepat sangat memuaskan...,1,layan cepat tepat muas,layan cepat tepat muas
Apliksa sangat ribet. Tiap masuk harus konfirmasi sms,-1,apliksa ribet masuk konfirmasi sms,sangat tiap masuk konfirmasi
Aplikasi apa log out sendiri dan log in minta SMS lagi habis habisin pulsa aja,-1,aplikasi log out dan log in sms habis habisin pulsa aja,aplikasi log sendiri log minta lagi habis pulsa aja
Selalu minta aktivasi ulang tidak seperti bca mobile,-1,minta aktivasi ulang tidak bca mobile,minta ulang tidak bca
Aplikasinya masih belum selengkap mbca segera di update lg supaya dapat ambil uang tanpa ATM seperti mbca,-1,aplikasi belum lengkap mbca di update lg dapat ambil uang atm mbca,aplikasi belum lengkap segera update supaya ambil uang atm mbca
unfaedah ga berguna bikin pulsa habis sudah aktivasi balik aplikasi error terus,-1,unfaedah tidak guna bikin pulsa habis aktivasi aplikasi error,tidak guna bikin pulsa habis aktivasi aplikasi terus
Tolong tambahkan login fingerprint biar gak repot ketik password,-1,tolong login fingerprint biar tidak repot ketik password,tolong login biar tidak repot ketik
Tambahkan fitur billing statement untuk CC,-1,fitur billing statement cc,fitur statement cc
"Masih blm bisa di android 0S 12,berasa ga canggih 🥹",-1,belum bisa android s asa tidak canggih,belum bisa android asa tidak canggih
Sangat mudah di gunakan,1,mudah guna,mudah guna
Ribet dan lama nunggu verifikasi datanya. Tidak semudah BCA Mobile,-1,ribet lama nunggu verifikasi data tidak mudah bca mobile,dan lama verifikasi data tidak mudah mobile
Semoga fitur finger scan sudah ada. Karena memudahkan untuk login. Soalnya bank tetangga sebelah sudah melakukannya.,0,moga fitur finger scan ada mudah login bank tetangga belah laku,moga finger karena mudah login bank tetangga belah sudah laku
Semakin di perbaharui malah sering log out trus login pake pulsa lagi ah malah tambah susah pake my bca,-1,di baharu sering log out trus login pake pulsa ah tambah susah pake my bca,di baharu sering log trus pulsa ah tambah susah pake my
Best off the best min.pertahankan untuk Indonesia kita tercinta ini.trus berkarya lbh baik lagi dan kasih yg terbaik untk Indonesia kita tercinta.2021.full bintang.,1,best off the best min tahan indonesia cinta trus karya lbh baik dan kasih baik untk indonesia cinta full bintang,off best min tahan indonesia cinta trus karya baik dan kasih baik indonesia cinta bintang
"Bagus aplikasi nya, cuma belum ada fitur Cardless",1,bagus aplikasi nya belum fitur cardless,bagus aplikasi cuma ada cardless
Sangat memuaskan!,1,muas,muas
Nungguin verifikasi lama banget. Kenapa gak kayak mBca aja flow nya lebih cepet.,-1,nungguin verifikasi lama banget tidak kayak mbca aja flow nya cepet,verifikasi lama banget tidak kayak aja nya cepet
Berkali2 daftar kendala di email.. email udah benar masih aj salah hadeh...,-1,kali daftar kendala email email udah masih aj salah hadeh,kali daftar kendala email email benar aj salah
"MY BCA udah keren, hanya msih kurang belum ada menu cardless😊",1,my bca udah keren msih belum menu cardless,bca keren msih belum menu
"Setelah di update saya tidak bisa masuk akun my bca saya, data diri tidak sesuai",-1,di update tidak bisa masuk akun my bca data tidak sesuai,di tidak bisa masuk akun bca saya data tidak sesuai
"Kurang lengkap tanpa TRANSAKSI TANPA KARTU, TARIK/SETOR dan Lengkapi FITUR NOTIFIKASI",-1,lengkap transaksi kartu tarik setor lengkap fitur notifikasi,lengkap transaksi kartu tarik setor lengkap notifikasi
Udh capek2 kebank antri ngurus MyBca keblokir ujung2 ttp hrs tlp ke HalloBCA. Sampe capek tlp ke hallobca gara2 keblokir terus.. g ngerti nulis password udh sangat jelas dan bener tp ttp aja ke blokir!! Tolong perbaiki lg aplikasinya.. sy butuh myBCA krna pnya 2 rekening jd susah mau transaksi.,-1,udh capek bank antri ngurus mybca blokir ujung ttp hrs tlp hallobca sampe capek tlp hallobca gara blokir tidak ngerti nulis password udh jelas bener tp ttp aja blokir tolong baik lg aplikasi sy butuh mybca krna pnya rekening jd susah transaksi,capek bank antri blokir ujung hrs sampe capek ke gara blokir tidak nulis udh jelas bener ttp aja ke blokir tolong baik aplikasi butuh mybca krna rekening susah transaksi
Masih versi awal... Cukup baguslah... Kasih bintang lima dulu... Tunggu update nya...,1,versi cukup bagus kasih bintang dulu tunggu update nya,versi cukup bagus kasih bintang dulu tunggu nya
"Mantap, semoga fitur fingerprintnya segera hadir",1,mantap moga fitur fingerprintnya hadir,mantap moga fingerprintnya hadir
Samgat membantu sekali aplikasi ini dan saya suka sekali fitur2nya samgat informatif 👌👍,1,samgat bantu aplikasi dan suka fitur nya samgat informatif,bantu aplikasi dan suka fitur samgat informatif
"Saya kira selama ini BCA bisa memberikan pelayanan yg baik, kali ini saya kecewa, saya mau login kembali karena ganti perangkat di id saya tapi harus aktivasi. Sementara saya diminta untuk menghubungi Halo BCA, setelah saya hubungi saya diminta menunggu untuk ditelpon tapi tidak ada yg menghungi saya karena alasan operator bermasalah. Saya sampai kasih nomor saya yg lain tetap tidak ada menghubungi. Sudah 5 kali saya buat laporan hasilnya sama dan yg terakhir tidak ada kabar lagi dr pihak BCA.",-1,kira lama bca bisa layan baik kali kecewa mau login karena ganti perangkat id aktivasi hubung halo bca hubung minta tunggu untuk telpon tapi tidak menghungi saya karena alas operator saya kasih nomor saya yang lain tidak hubung kali saya buat lapor hasil dan yang akhir tidak kabar dr bca,kira lama bisa layan baik kali kecewa mau kembali ganti perangkat id aktivasi hubung halo bca telah hubung minta tunggu untuk telpon tapi tidak saya alas operator saya kasih nomor saya yang lain tidak hubung kali saya buat lapor hasil dan yang akhir tidak kabar dr bca
"Udah habis pulsa 18000 buat nelp ke 1500888 untuk aktivasi.. Masih disuruh nunggu 2hari kerja... Kalah sama Mandiri proses cepat, sangat menghambat",-1,udah habis pulsa nelp untuk aktivasi suruh nunggu kerja kalah mandiri proses cepat hambat,habis pulsa nelp untuk masih suruh hari kerja kalah mandiri proses cepat hambat
Harus pakai SMS berbayar dan internet dari SIM 1 sungguh merepotkan.. Ada info yg lagi viral bahwa yg punya rekening tp tidak punya myBCA jadi mudah diretas..,-1,pakai sms bayar internet sim sungguh repot info lagi viral yang rekening tp tidak mybca mudah retas,pakai bayar internet sim sungguh repot info lagi bahwa rekening tidak punya mybca mudah retas
Kenapa tidak bisa login cek Saldo dan transfer selalu hubungi hallo BCA,-1,tidak bisa login cek saldo transfer hubung hallo bca,tidak bisa cek saldo transfer hubung bca
Tolong tambahkan fitur Login menggunakan sidik jari dan tambahkan simpan user ID. Jika sudah ada saya kasih bintang 5,-1,tolong fitur login guna sidik jari tambah simpan user id sudah saya kasih bintang,tolong fitur guna sidik jari tambah simpan id sudah saya kasih bintang
"Saya sdh punya rekening bca,mau daftar my bca mala gak bisa padahal sdh isi dan buat bcaid mau tekaj setuju untuk mengikuti ketentuannya mala gak bisa",-1,sdh rekening bca daftar my bca mala tidak bisa sdh isi buat bcaid tekaj tuju ikut mala tidak bisa,sdh rekening mau daftar bca mala tidak bisa sdh isi buat mau tuju ikut mala tidak bisa
Tolong tambahkan notifikasi uang masuk dan uang keluar.,-1,tolong notifikasi uang masuk uang,tolong notifikasi uang masuk uang
Buagus .... Lebih buagus jika bisa transaksi e-commerce nya sekalian... mantap,1,buagus buagus bisa transaksi e commerce nya mantap,lebih jika bisa transaksi commerce sekali mantap
my BCA pelayanan sangat baik dan ramah,1,my bca layan baik ramah,bca layan baik ramah
Bagus bangett.. lebih bagus dr mbca fitur2nya.. 😍,1,bagus bangett bagus dr mbca fitur nya,bagus lebih bagus mbca nya
Engga bisa login padahal udah sering kirim pesan,-1,engga bisa login udah kirim pesan,bisa padahal sering kirim pesan
"Tambah fitur login dengan sidik jari, please.",-1,fitur login sidik jari please,fitur dengan sidik jari
halo bca kenapa my bca saya selalu muncul (my bca di hentikan ) sedangkan saya sudsh coba instal ulang my bca nya sama saja mohon di tanggapi trimakasih.,-1,halo bca my bca selalu muncul my bca henti saya sudsh coba instal ulang my bca nya saja mohon tanggap terimakasih,halo kenapa bca selalu muncul bca henti saya coba ulang bca sama mohon tanggap
"Aplikasi bagus dan simple, di tunggu update nya ,,",1,aplikasi bagus simple tunggu update nya,aplikasi bagus simple tunggu nya
Verifikasinya membuang banyak pulsa. Sangat sulit,-1,verifikasi buang pulsa sulit,verifikasi buang pulsa sulit
Kapok saya bikin M-Banking BCA Via sales BCA.. Sandi nya bisa berubah tidak bisa masuk / membuka M-Banking Padahal saya tidak pernah ganti Sandi / PIN Tabungan saya selalu berkurang terus..!! Mendingan tidak usah ada sales utk bikin M-banking Ngerusak citra BCA,-1,kapok bikin m banking bca via sales bca sandi nya bisa ubah tidak bisa masuk buka m banking tidak ganti sandi pin tabung saya selalu terus mending tidak ada sales utk bikin m banking ngerusak citra bca,kapok bikin banking via sandi bisa ubah tidak bisa masuk buka banking tidak ganti sandi pin tabung saya selalu terus mending tidak ada utk bikin banking citra bca
"Ini kedepannya bakal jadi pengganti BCA Mobile kah? Keren UI nya menarik dan designnya oke, good job BCA",1,depan jadi ganti bca mobile kah keren ui nya tarik designnya oke good job bca,depan jadi ganti mobile kah keren nya tarik designnya oke job
"Cepat,aman dan terpecaya",1,cepat aman terpecaya,cepat aman terpecaya
Sangt membantu dan mempermudah ber transaksi,1,sangt bantu mudah ber transaksi,bantu mudah transaksi
Sangat terbantu sekali. Semangat terus dan sukses terus 💪💪💪🤝🤝🤝,1,bantu semangat dan sukses,bantu semangat dan sukses
"Masih sering trouble, semoga segera ada pembenahan software",-1,sering trouble moga ada benah software,sering moga ada benah
"Kalau gak bisa bikin aplikasi, jangan memaksakan.. apalagi sampai menyusahkan orang banyak..🤦‍♂️",-1,tidak bisa bikin aplikasi paksa sampai susah orang,tidak bisa bikin aplikasi paksa sampai susah orang
"Harus nunggu telpon , udah ke 3 kali nya belum ada telpon, di cancel terus laporannya .",-1,nunggu telpon udah kali nya ada telpon cancel lapor,nunggu telpon ke kali belum telpon cancel lapor
Tolong tambahkan fitur CARDLESS untuk tarik dan setor tunai. Terimakasih,-1,tolong fitur cardless tarik setor tunai terimakasih,tolong fitur untuk tarik setor tunai
baru sekali input paswod uda kena blokir... salah juga enggak... apk aneh,-1,baru input paswod uda kena blokir salah tidak apk aneh,baru input uda kena blokir salah tidak aneh
"Aplikasi sampah ribet banyak verif, dan proses lama",-1,aplikasi sampah ribet verif proses lama,aplikasi sampah banyak dan proses lama
Kenapa menu untuk lihat saldo & isi ulang Kartu Flazz kenapa tidak ada?,-1,menu lihat saldo isi ulang kartu flazz tidak,menu lihat saldo isi ulang kartu kenapa tidak
"Aktivasinya ribet , saya telfon hallo BCA sampe pulsa habis belum selesei juga prosesnya .",-1,aktivasinya ribet telfon hallo bca sampe pulsa habis selesei proses,ribet telfon bca pulsa habis selesei proses
Belum update lagi gan.. QR nya belum bisa di pakai?,0,update gan qr nya bisa pakai,update gan nya bisa pakai
"Simpel login nya juga kenapa gak semua disini ajh, ayo cepet update nya",1,simpel login nya kenapa tidak sini ajh ayo cepet update nya,simpel kenapa tidak sini ayo update nya
"Transfer ke BCA Syariah kenapa tidak bisa? Dan umpama bisa juga harus pakai biaya, padahal klo transfer lewat bca mobile bisa dan tidak ada biaya admin",-1,transfer bca syariah tidak bisa umpama bisa harus pakai biaya klo transfer bca mobile bisa tidak biaya admin,transfer bca kenapa tidak bisa umpama bisa harus pakai biaya klo transfer bca bisa tidak biaya
Belum bisa login menggunakan finger print,-1,bisa login guna finger print,bisa guna print
"susah telp 1500888, busy terus. Sdh 1 jam nunggunya",-1,susah telp busy sdh jam nunggunya,susah busy sdh jam
"Bete lama lama pake mybca, keblokir terus id atau pass nya, pdhl baru sekali masukin pass salah di hari itu, masa iya baru kemarin telp buka blokir, eh hari ini baru mau buka udh ke blokir lagi, bentar bentar blokir ribet ngabisin pulsa, ga sedodol itu kali gue masa iya masukin pass salah berkali kali, bertahun2 pakai MBCA ga gini2 amat! dibenahin lagi yg bener aplikasinya",-1,bete lama lama pake mybca blokir id pass nya baru masukin pass salah iya baru kemarin telp buka blokir eh hari ini baru buka udh blokir bentar bentar blokir ribet ngabisin pulsa tidak dodol kali gue masa iya masukin pass salah kali kali pakai mbca tidak gin dibenahin yang bener aplikasi,lama lama mybca blokir id padahal baru pass salah hari iya baru kemarin buka blokir hari baru buka ke blokir bentar bentar blokir ngabisin pulsa tidak dodol kali gue masa iya masukin pass salah kali kali pakai tidak gin dibenahin yang aplikasi
Memudahkan terutama untuk yg mempunyai lebih dari 1 rekening BCA.,1,mudah utama yang lebih rekening bca,mudah utama yang lebih rekening
"Aplikasi sampah, selalu gagal login",-1,aplikasi sampah gagal login,aplikasi sampah gagal
"Ga usah pada downlod, kecewa dengan pelayanan verifikasi yang ribet. Ga niat, respon lambat. Mending ga usah donload kalo kaya gini. Bikin kecewa sebagai pengguna bca yang 6 tahun jd konsumen bca",-1,tidak pada downlod kecewa layan verifikasi ribet tidak niat respon lambat mending tidak donload kalo kaya gin bikin kecewa guna bca tahun jd konsumen bca,tidak pada kecewa layan verifikasi ribet tidak niat lambat mending tidak donload kalo kaya gin bikin kecewa guna yang jd konsumen
"Terlalu lamaa untuk aktvasi shrs y sudh aktvsi d sms itu hrus aktf , ini aktvasi sms pulsa hbs bbrpa x aktf gak , hrus nlpn jg k hallobca lama",-1,lamaa aktvasi shrs y sudh aktvsi d sms hrus aktf aktvasi sms pulsa hbs bbrpa x aktf tidak hrus nlpn jg k hallobca lama,lamaa y aktvsi sms ini aktvasi sms pulsa bbrpa aktf tidak hrus nlpn k lama
Kalo mw buka aplikasi trus mw transaksi.apakah pake data kuota/pls biasa.????,0,kalo mw buka aplikasi trus mw transaksi pake data kuota pls,kalo buka aplikasi mw transaksi pake data kuota biasa
Apliasi ga guna baru mw di pake login aja blm udah di blokir aja aplikasi sampah ID udah bener baru sekali masukin lngsung kblokir assuuu,-1,apliasi tidak guna baru mw pake login aja udah blokir aja aplikasi sampah id udah bener baru masukin lngsung kblokir assuuu,tidak guna baru login aja udah di blokir aja aplikasi sampah udah baru masukin kblokir
"aplikasi my bca mata duitan, boleh jadi ratingnya masih dibawah 4. udah ane uninstal.",-1,aplikasi my bca mata duit jadi ratingnya bawah udah ane uninstal,aplikasi bca mata duit jadi masih udah uninstal
smoga aplikasi nya lancar nyaman di pake,1,smoga aplikasi nya lancar nyaman pake,aplikasi lancar nyaman pake
Ngabisin pulsa berkali kali udh ngirim pesan aktivasi masih ngga aktif aktif,-1,ngabisin pulsa kali kali udh ngirim pesan aktivasi tidak aktif aktif,pulsa kali kali ngirim pesan masih tidak aktif aktif
Cepat dan lengkap,1,cepat lengkap,cepat lengkap
"Mau daftar, pas masukin nomer kart ATM malah ga bisa",-1,daftar pas masukin nomer kart atm tidak bisa,daftar pas nomer atm tidak bisa
Pelayanan sangat memuaskan,1,layan muas,layan muas
"Selalu ke log out, pulsa jd hbs",-1,ke log out pulsa jd hbs,ke log pulsa hbs
setelah 2 minggi gk dipakai gk bisa dibuka,-1,minggi tidak pakai tidak bisa buka,minggi tidak pakai tidak bisa buka
"Saya tidak setuju apk bca mobile jadi tidak kompetibel di hp samsung j1 mini , merepotkan saya saja sungguh kecewa",-1,tidak tuju apk bca mobile tidak kompetibel hp samsung j mini repot saja sungguh kecewa,tidak tuju bca jadi tidak di samsung mini repot saja sungguh kecewa
Longin gak bisa2 sampai pulsa habis,-1,longin tidak bisa pulsa habis,tidak bisa pulsa habis
Kok gak ada menu menampilkan qr code kita ya kayak di bca mobile?,0,tidak menu tampil qr code ya kayak bca mobile,tidak menu tampil code ya kayak bca
Mau daftar tapi susah terus...,-1,daftar susah,daftar susah
"ribet banget verifikasi buat masuk mybca aja harus nunggu ditelpon sama bank bca nya , padahal menurut saya solusi lain ada loh misalnya telp cs langsung dibuka kaya oneklik gak usah nunggu harus ditelpon balik , ribet",-1,ribet banget verifikasi masuk mybca aja nunggu telpon bank bca nya turut solusi lain loh telp cs langsung buka kaya oneklik tidak nunggu telpon ribet,banget verifikasi masuk aja nunggu telpon bank nya turut solusi lain loh telp langsung buka kaya tidak nunggu telpon ribet
"Background BCA di file waktu di print malah nutupi tulisan semua nya, polos aja, gk usah background",-1,background bca file di print nutupi tulis nya polos aja tidak background,bca file di malah tulis nya polos aja tidak background
Aku tiba2 ke blokir 2x. Ini kenap ya? Gak pernah salah masukan password padahal,-1,tiba blokir x kenap ya tidak salah masuk password,tiba blokir ini kenap tidak salah masuk padahal
Sangat membantu dalam bertransaksi keren mantap bca,1,bantu transaksi keren mantap bca,bantu transaksi keren mantap
Bisa transfer lebih besar dari pada m-banking,1,bisa transfer besar pada m banking,bisa transfer besar pada banking
"Susah sekali download, berkali2 tetap nggak bisa.",-1,susah download kali tidak bisa,susah download kali tidak bisa
Sulit saat registrasi,-1,sulit registrasi,sulit registrasi
"aplikasi gak jelas, mau registrasi gak bisa2",-1,aplikasi tidak jelas registrasi tidak bisa,aplikasi tidak jelas registrasi tidak bisa
"Tolong info min, apakah kalau saya gunakan aplikasi ini harus log out dari bca mobile saya, sebab saya perlu aplikasi ini karna sudah mendukung BI fast,dan cara login nya itu apakah seperti bca mobile jug?",0,tolong info min kalau guna aplikasi harus log out bca mobile sebab perlu aplikasi karena dukung bi fast cara login nya apakah bca mobile jug,tolong info min kalau guna aplikasi harus log dari sebab perlu aplikasi karena dukung fast cara nya apakah bca mobile jug
My bca aplikasi yg sangat membantu bgt.. Dalam 1 aplikasi bisa sampe lbh dari 1 no rekening.,1,my bca aplikasi sangat bantu bgt aplikasi bisa sampe lbh no rekening,bca aplikasi sangat bantu dalam aplikasi bisa lbh no rekening
"Kurang lengkap semoga ada uodate biar fitur"" nya terbuka",-1,lengkap moga uodate biar fitur nya buka,lengkap moga uodate biar nya buka
Gak bisa ubah BCA ID saya salah huruf.. masa ga bisa di edit sih,-1,tidak bisa ubah bca id salah huruf tidak bisa edit sih,tidak bisa ubah id salah huruf tidak bisa edit sih
Mantap terus berinovasi dan selalu update sukses terus BCA,1,mantap inovasi selalu update sukses bca,mantap inovasi selalu sukses bca
Saran tolong di update aplikasi nya biar ada fitur menu Tarik tunai nya tks,0,saran tolong update aplikasi nya biar fitur menu tarik tunai nya tks,saran tolong update aplikasi biar fitur menu tarik tunai tks
terllu lemot buka apk nya..bagus sih bavus bisa nampilkan beberapa rekening cuma ya gt buka apk trllu lelet,-1,terllu lot buka apk nya bagus sih bavus bisa nampilkan rekening ya gt buka apk trllu lelet,lot buka nya bagus sih bisa beberapa rekening ya buka trllu lelet
Kenapa baru bisa transfer aja ? kenapa fiturnya ga kayak mbca ?,-1,baru bisa transfer aja fiturnya tidak kayak mbca,baru bisa transfer aja fiturnya tidak kayak
Wow keren sangat suka sekali ini yang ku tunggu best innovation dari Bank BCA Indonesia thanks,1,wow keren suka ini ku tunggu best innovation bank bca indonesia terimakasih,keren suka ini ku tunggu innovation bank indonesia
Bagus dan tdk usah keluar ke atm utk transfer atau lihat,1,bagus tidak keluar atm utk transfer lihat,bagus tidak keluar atm transfer lihat
"Cukup ok dan memberi kmudahan,trima kasih",1,ok beri kmudahan terima kasih,ok beri terima kasih
Gmn nih mau msk suruh update trus .sdh diupdate ga bs msk2,-1,gmn mau msk suruh update trus sdh diupdate tidak bisa msk,nih suruh trus diupdate tidak bisa msk
"ribet,... bertele-tele aplikasi gk bisa digunakan",-1,ribet tele tele aplikasi tidak bisa guna,tele tele aplikasi tidak bisa guna
Kok tiba2 di blokir. Pdhal sdh bener ID ma pswrd nya. Pulsa abis buat SMS,-1,tiba blokir pdhal sdh bener id ma pswrd nya pulsa abis sms,tiba blokir sdh id pswrd pulsa abis sms
